ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
82	242	1	3	0.000000	394.913223	394.913223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
83	161	1	1	0.000000	477.621118	477.621118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
84	172	1	1	0.000000	448.651163	448.651163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
85	57	1	1	0.000000	1717.561404	1675.245614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
86	1	2	2	0.000000	2121.000000	2121.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
87	317	2	1	0.000000	2686.567823	2610.485804	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
88	1	2	2	0.000000	810.000000	810.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
89	121	1	1	0.000000	311.793388	311.793388	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
90	2	2	2	0.000000	732.000000	732.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
91	3	2	2	0.000000	836.666667	836.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
92	12	2	2	0.000000	740.750000	740.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
93	33	1	1	0.000000	234.666667	234.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
94	2	1	1	0.000000	2299.000000	679.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
95	2	2	2	0.000000	934.000000	934.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
96	1	1	2	0.000000	415.000000	260.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
97	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
98	3	2	2	0.000000	661.333333	661.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
99	15	1	1	0.000000	1982.066667	1982.066667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
100	1	2	2	0.000000	1020.000000	1020.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
101	2	2	2	0.000000	783.000000	783.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
102	6	2	4	0.000000	2174.833333	1489.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
103	1	2	2	0.000000	791.000000	791.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
104	2	2	2	0.000000	882.000000	882.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
105	2	2	2	0.000000	682.500000	682.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
106	7	2	1	0.000000	892.857143	153.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
107	6	2	1	0.000000	158.666667	156.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
108	24	2	1	0.000000	397.250000	397.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
109	3	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
110	3	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
111	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
112	1	2	2	0.000000	883.000000	883.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
113	3	2	2	0.000000	810.333333	810.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
114	1	2	2	0.000000	803.000000	803.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
115	1	1	2	0.000000	1046.000000	1046.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
116	57	1	1	0.000000	525.473684	525.473684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
117	3	1	3	0.000000	1098.666667	782.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
118	4	2	2	0.000000	1341.000000	601.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
119	15	1	1	0.000000	428.666667	428.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
120	1	2	2	0.000000	896.000000	896.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
121	865	1	1	0.000000	421.473988	420.557225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
122	1	1	2	0.000000	666.000000	666.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
123	2	2	2	0.000000	682.500000	682.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
124	15	1	1	0.000000	50.200000	50.200000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
125	1	1	2	0.000000	79.000000	79.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
